name,placeType,city,state,country,rating,reviewsNumber,hostedBy,guestNum,bedroomNum,bedNum,bathNum,cleanliness,accuracy,communication,location,checkIn,Value,full_location,hostJoined,pricePerNight,ID,url,page
Cabaña 4pax Hidalgo Omitlan de Juarez,Entire cabin,NA,NA,NA,3.75,4,Hidalgo Rotamundos,4,1,1,1,4.2,3.0,3.2,3.8,3.2,3.8,"Hidalgo, Mexico",2021,57,204,https://airbnb.com/rooms/791377590305837144?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697748280_G%2FMGt4v850BQfv0i&previous_page_section_name=1000&federated_search_id=8500b600-a016-4306-af2c-03c1eaff7f1f,12
Antiguos Macheros de Velasco,Entire cottage,NA,NA,NA,4.82,34,Carlos,16,6,6,6,4.8,4.8,4.7,4.8,4.9,4.8,"Pachuca, Hidalgo, Mexico",2017,320,205,https://airbnb.com/rooms/34468284?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-21&check_out=2023-10-26&source_impression_id=p3_1697748280_CfapTLH1HC%2FHz8Hw&previous_page_section_name=1000&federated_search_id=8500b600-a016-4306-af2c-03c1eaff7f1f,12
"Magical view, Mineral del Monte",Casa particular,NA,NA,NA,,,,10,4,4,2,,,,,,,"Mineral del Monte, Hidalgo, Mexico",2019,193,206,https://airbnb.com/rooms/799993777119585908?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697748280_PqxcP5lrIBZQUYiX&previous_page_section_name=1000&federated_search_id=8500b600-a016-4306-af2c-03c1eaff7f1f,12
Rm #8 Double Country Stay,Room in Mexico,NA,NA,NA,4.56,9,,2,Dedicated,Dedicated,,4.4,4.8,4.7,5.0,4.4,4.8,"Hidalgo, Mexico",,64,207,https://airbnb.com/rooms/44475017?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1045644181&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697748280_Zk%2Fy9F00p7zaGiTL&previous_page_section_name=1000&federated_search_id=8500b600-a016-4306-af2c-03c1eaff7f1f,12
"Casa de Campo ""Quinta Elvira"" Omitlán, Hidalgo.",Entire cabin,NA,NA,NA,,,Zenaido,12,4,4,4.5,,,,,,,"Omitlán de Juárez, Hidalgo, Mexico",2017,193,208,https://airbnb.com/rooms/894307724700274354?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697748280_BFpyokQtwvEy3zLa&previous_page_section_name=1000&federated_search_id=8500b600-a016-4306-af2c-03c1eaff7f1f,12
Cabaña Imperial Real del Monte 3,Entire cabin,Mineral del Monte,Hidalgo,Mexico,,,Juan,4,2,2,1,,,,,,,"Mineral del Monte, Hidalgo, Mexico",2020,88,209,https://airbnb.com/rooms/832735270614889721?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697748280_2xk7U21F9hnZz2Fh&previous_page_section_name=1000&federated_search_id=8500b600-a016-4306-af2c-03c1eaff7f1f,12
"Omitlan cabin, country lodging RM9","Room in Omitlán de juarez, Mexico",Omitlán de juarez,Hidalgo,Mexico,4.42,12,,9,1,1,,4.6,4.3,4.5,4.6,4.7,4.6,"Omitlán de juarez, Hidalgo, Mexico",,72,210,https://airbnb.com/rooms/31177601?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=645665155&check_in=2023-10-20&check_out=2023-10-25&source_impression_id=p3_1697748280_mAhqhB4v2hU4pSx4&previous_page_section_name=1000&federated_search_id=8500b600-a016-4306-af2c-03c1eaff7f1f,12
Glamping of the Stars,Tipi,NA,NA,NA,,,Jorge Levi,4,1,1,,,,,,,,"Hidalgo, Mexico",2022,75,211,https://airbnb.com/rooms/730449594111271453?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-20&check_out=2023-10-25&source_impression_id=p3_1697748280_2YweeWJ9RW%2BSI1J4&previous_page_section_name=1000&federated_search_id=8500b600-a016-4306-af2c-03c1eaff7f1f,12
Cozy treehouse with great location,Treehouse,NA,NA,NA,4.43,7,,4,2,2,1,4.6,4.1,4.3,4.1,4.1,4.3,"Hidalgo, Mexico",2019,83,212,https://airbnb.com/rooms/39528640?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-20&check_out=2023-10-25&source_impression_id=p3_1697748280_gxEAGi59mkey1U%2Fk&previous_page_section_name=1000&federated_search_id=8500b600-a016-4306-af2c-03c1eaff7f1f,12
Cabin in Huasca de Ocampo,Entire vacation home,San José Ocotillos,Hidalgo,Mexico,4.67,9,Juan,6,3,3,1,4.7,4.6,4.7,4.7,4.7,4.6,"San José Ocotillos, Hidalgo, Mexico",2020,102,213,https://airbnb.com/rooms/54022261?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697748280_3NRyMpNemOU6%2BODr&previous_page_section_name=1000&federated_search_id=8500b600-a016-4306-af2c-03c1eaff7f1f,12
