Airbnb Name,Availability,Stay_Date,Place_id
Mt. Mineral Cabin | Firepit, Past dates can’t be selected,"October 13, 2023",181
Mt. Mineral Cabin | Firepit, Past dates can’t be selected,"October 14, 2023",181
Mt. Mineral Cabin | Firepit, Past dates can’t be selected,"October 15, 2023",181
Mt. Mineral Cabin | Firepit, Past dates can’t be selected,"October 16, 2023",181
Mt. Mineral Cabin | Firepit, Past dates can’t be selected,"October 17, 2023",181
Mt. Mineral Cabin | Firepit, Past dates can’t be selected,"October 18, 2023",181
Mt. Mineral Cabin | Firepit, Available,"October 19, 2023",181
Mt. Mineral Cabin | Firepit, Available,"October 20, 2023",181
Mt. Mineral Cabin | Firepit, Available,"October 21, 2023",181
Mt. Mineral Cabin | Firepit, Available,"October 22, 2023",181
Mt. Mineral Cabin | Firepit, Available,"October 23, 2023",181
Mt. Mineral Cabin | Firepit, Available,"October 24, 2023",181
Mt. Mineral Cabin | Firepit, Available,"October 25, 2023",181
Mt. Mineral Cabin | Firepit, Available,"October 26, 2023",181
Mt. Mineral Cabin | Firepit, Available,"October 27, 2023",181
